oldtrade,sell
oldtrade,buy,8400,Nephrite
walk,-4628,718,2085
walk,-4589,724,2089
walk,-4548,734,2075
walk,-4517,743,2080
walk,-4472,766,2085
walk,-4438,783,2113
walk,-4414,809,2139
walk,-4379,825,2118
walk,-4338,829,2111
walk,-4295,838,2146
walk,-4254,833,2132
walk,-4212,842,2103
walk,-4173,859,2092
walk,-4135,866,2092
walk,-4095,875,2115
walk,-4051,880,2091
walk,-4016,880,2092
walk,-3975,886,2093
walk,-3936,877,2060
walk,-3895,894,2064
walk,-3867,918,2105
walk,-3824,939,2162
walk,-3785,956,2236
walk,-3743,962,2265
walk,-3699,957,2267
walk,-3657,958,2288
walk,-3605,968,2240
walk,-3557,969,2229
walk,-3520,962,2243
walk,-3480,946,2227
walk,-3448,910,2214
walk,-3421,868,2227
walk,-3387,829,2279
walk,-3354,794,2334
walk,-3327,758,2415
walk,-3299,724,2488
walk,-3264,696,2519
walk,-3224,657,2526
walk,-3231,659,2522
walk,-3196,635,2526
walk,-3168,619,2523
wait,500
teleport,Aircraft Ticket Seller Ajati,Airship Ticket Seller Dawari
wait,500
walk,-2574,325,2076
walk,-2533,311,2070
walk,-2492,294,2050
walk,-2455,282,2008
walk,-2411,265,1985
walk,-2371,242,1981
walk,-2331,222,1980
walk,-2288,205,1980
walk,-2249,214,1924
walk,-2212,234,1887
walk,-2175,260,1814
walk,-2140,280,1768
walk,-2103,297,1672
walk,-2063,307,1559
walk,-2019,307,1436
walk,-1969,304,1379
walk,-1932,296,1378
walk,-1895,291,1411
walk,-1853,293,1377
walk,-1810,300,1378
walk,-1767,313,1384
walk,-1730,332,1391
walk,-1691,355,1347
walk,-1650,368,1328
walk,-1596,380,1324
walk,-1551,396,1367
walk,-1503,415,1362
walk,-1456,425,1382
walk,-1415,452,1383
walk,-1388,473,1383
walk,-1346,484,1354
walk,-1310,479,1394
walk,-1266,467,1377
walk,-1223,445,1384
walk,-1190,419,1393
walk,-1155,393,1393
walk,-1115,363,1372
walk,-1078,341,1335
walk,-1035,318,1276
walk,-991,297,1206
walk,-954,281,1125
walk,-927,262,1038
walk,-900,234,922
walk,-881,200,817
walk,-865,175,762
walk,-840,145,642
walk,-812,125,567
walk,-783,111,548
walk,-755,105,575
walk,-714,104,575
walk,-666,104,559
walk,-614,105,551
walk,-579,110,610
walk,-544,109,668
walk,-508,107,714
walk,-469,106,691
walk,-413,98,584
walk,-379,85,509
walk,-331,74,314
walk,-288,62,192
walk,-247,53,117
walk,-211,48,56
walk,-167,48,12
walk,-130,47,12
walk,-85,47,13
walk,-37,47,128
walk,-15,47,225
walk,25,48,243
walk,65,51,243
walk,103,69,244
walk,141,87,244
oldtrade,sell
oldtrade,buy,8400,Agate
walk,126,76,244
walk,98,65,244
walk,74,50,244
walk,42,46,243
walk,9,47,243
walk,-8,47,244
walk,-47,46,69
walk,-68,47,11
walk,-106,48,12
walk,-144,47,12
walk,-224,48,95
walk,-260,49,134
walk,-299,53,218
walk,-332,59,334
walk,-374,66,469
walk,-401,77,561
walk,-443,87,647
walk,-484,90,700
walk,-523,96,685
walk,-567,106,635
walk,-623,107,552
walk,-667,103,559
walk,-716,104,575
walk,-772,106,550
walk,-819,114,554
walk,-847,124,599
walk,-868,146,679
walk,-880,179,787
walk,-903,224,896
walk,-956,274,1117
walk,-987,292,1193
walk,-1016,302,1270
walk,-1058,322,1312
walk,-1099,343,1351
walk,-1141,367,1361
walk,-1161,383,1396
walk,-1196,410,1391
walk,-1223,429,1397
walk,-1263,452,1382
walk,-1297,474,1388
walk,-1356,484,1363
walk,-1390,476,1386
walk,-1432,442,1385
walk,-1476,420,1364
walk,-1517,411,1374
walk,-1565,388,1341
walk,-1625,375,1323
walk,-1676,359,1331
walk,-1718,339,1386
walk,-1766,314,1386
walk,-1796,302,1389
walk,-1852,280,1349
walk,-1895,278,1397
walk,-1950,288,1374
walk,-2006,294,1404
walk,-2048,299,1518
walk,-2085,289,1629
walk,-2120,275,1723
walk,-2164,251,1792
walk,-2199,226,1869
walk,-2237,211,1923
walk,-2280,209,1970
walk,-2325,221,1987
walk,-2360,238,1983
walk,-2394,260,1977
walk,-2432,279,1992
walk,-2470,296,2026
walk,-2512,310,2050
walk,-2552,323,2081
walk,-2590,348,2100
walk,-2613,371,2112
wait,500
teleport,Airship Ticket Seller Dawari,Aircraft Ticket Seller Ajati
wait,500
walk,-3198,634,2526
walk,-3187,631,2523
walk,-3221,651,2528
walk,-3285,679,2510
walk,-3314,720,2451
walk,-3339,765,2374
walk,-3371,800,2296
walk,-3402,834,2251
walk,-3430,876,2223
walk,-3465,920,2206
walk,-3498,950,2239
walk,-3533,964,2243
walk,-3583,972,2224
walk,-3623,964,2267
walk,-3660,958,2288
walk,-3697,955,2265
walk,-3733,958,2264
walk,-3772,961,2248
walk,-3824,945,2168
walk,-3822,944,2170
walk,-3856,918,2104
walk,-3873,896,2069
walk,-3889,885,2042
walk,-3932,881,2060
walk,-3961,877,2090
walk,-3987,886,2092
walk,-4030,877,2092
walk,-4072,868,2097
walk,-4103,861,2092
walk,-4145,850,2089
walk,-4183,837,2092
walk,-4212,828,2102
walk,-4249,820,2123
walk,-4299,813,2112
walk,-4337,808,2111
walk,-4371,807,2112
walk,-4405,818,2139
walk,-4444,817,2171
walk,-4477,825,2165
walk,-4512,828,2168
walk,-4560,831,2202
walk,-4599,837,2233
walk,-4653,828,2161
walk,-4690,808,2106
walk,-4714,781,2094
walk,-4759,748,2092
walk,-4760,742,2092
walk,-4795,727,2093
walk,-4849,730,2132
walk,-4893,725,2172
walk,-4926,709,2226
walk,-4954,689,2303
walk,-4991,649,2407
walk,-5010,616,2477
walk,-5022,585,2529
walk,-5039,548,2591
walk,-5073,503,2690
walk,-5096,451,2812
walk,-5109,418,2884
walk,-5139,389,2929
walk,-5177,359,3051
walk,-5213,346,3205
walk,-5256,348,3348
walk,-5292,348,3416
walk,-5339,357,3402
walk,-5380,371,3425
walk,-5419,400,3546
walk,-5443,426,3600
walk,-5488,467,3550
walk,-5505,508,3689
walk,-5506,536,3805
walk,-5511,575,3919
walk,-5535,602,4019
walk,-5572,612,4038
walk,-5626,616,3966
walk,-5677,624,3879
walk,-5721,632,3862
walk,-5758,635,3854
walk,-5775,634,3877
walk,-5782,633,3891
wait,500
teleport,Aircraft Ticket Seller Sangnia,Aircraft Ticket Seller Shard
wait,500
walk,-6228,960,566
walk,-6258,945,513
walk,-6260,943,511
walk,-6294,927,466
walk,-6336,906,303
walk,-6377,896,222
walk,-6420,897,204
walk,-6463,911,192
walk,-6502,928,186
walk,-6540,927,210
walk,-6567,925,208
walk,-6612,948,183
walk,-6643,968,180
walk,-6682,989,180
walk,-6715,988,268
walk,-6763,995,294
walk,-6805,1005,309
walk,-6852,993,309
walk,-6891,1008,313
walk,-6916,1026,252
walk,-6950,1044,180
walk,-6973,1062,180
walk,-7007,1087,179
walk,-7039,1121,180
walk,-7071,1154,180
walk,-7108,1181,180
walk,-7135,1191,228
walk,-7174,1209,96
walk,-7216,1218,-1
walk,-7249,1214,-41
walk,-7295,1212,-171
walk,-7341,1217,-192
walk,-7390,1223,-187
walk,-7441,1215,-172
walk,-7479,1209,-181
walk,-7525,1214,-186
walk,-7571,1225,-183
walk,-7616,1234,-183
walk,-7662,1223,-175
walk,-7704,1216,-172
walk,-7747,1222,-132
walk,-7783,1236,-97
walk,-7807,1270,-61
walk,-7826,1306,-12
walk,-7849,1334,68
walk,-7884,1352,151
walk,-7916,1374,177
walk,-7957,1414,180
walk,-7994,1455,217
walk,-8012,1481,251
walk,-8044,1521,158
walk,-8071,1554,163
walk,-8098,1595,209
walk,-8130,1631,157
walk,-8166,1663,147
walk,-8201,1689,139
walk,-8227,1704,153
walk,-8270,1724,11
walk,-8270,1724,13
walk,-8309,1727,-17
walk,-8347,1732,-11
walk,-8387,1732,-11
walk,-8424,1728,-4
walk,-8463,1722,-6
walk,-8511,1720,-24
walk,-8559,1721,-26
walk,-8573,1744,-1
walk,-8583,1782,0
walk,-8591,1818,0
walk,-8599,1829,0
walk,-8623,1829,98
walk,-8641,1828,158
walk,-8681,1829,38
wait,500
teleport,Priate Blackbeard,Harbor Manager Marwa
wait,500
walk,-16563,364,584
walk,-16584,364,585
walk,-16602,352,625
walk,-16611,324,693
walk,-16610,286,740
walk,-16609,196,771
walk,-16610,165,832
walk,-16609,90,933
walk,-16606,9,925
walk,-16607,-1,925
walk,-16603,-1,925
oldtrade,sell
oldtrade,buy,8400,Marble
walk,-16608,16,924
walk,-16608,51,925
walk,-16609,82,926
walk,-16607,95,933
walk,-16608,132,835
walk,-16608,170,821
walk,-16609,246,740
walk,-16608,274,740
walk,-16608,301,741
walk,-16604,341,634
walk,-16584,361,585
walk,-16561,369,584
wait,500
teleport,Harbor Manager Marwa,Priate Blackbeard
wait,500
walk,-8698,1870,-1
walk,-8687,1892,-3
walk,-8661,1900,-2
walk,-8631,1888,0
walk,-8606,1871,0
walk,-8582,1839,0
walk,-8563,1803,0
walk,-8541,1775,11
walk,-8513,1754,-3
walk,-8489,1742,-3
walk,-8461,1731,-25
walk,-8432,1723,1
walk,-8395,1720,1
walk,-8360,1718,1
walk,-8328,1716,3
walk,-8292,1705,73
walk,-8282,1699,158
walk,-8254,1687,143
walk,-8219,1670,139
walk,-8187,1652,176
walk,-8152,1634,146
walk,-8123,1620,200
walk,-8095,1605,213
walk,-8051,1583,175
walk,-8015,1569,184
walk,-7978,1547,174
walk,-7942,1519,173
walk,-7909,1488,169
walk,-7878,1464,177
walk,-7843,1426,147
walk,-7832,1391,133
walk,-7822,1341,9
walk,-7815,1306,-12
walk,-7803,1271,-55
walk,-7777,1236,-104
walk,-7754,1220,-125
walk,-7711,1210,-167
walk,-7671,1216,-176
walk,-7632,1230,-185
walk,-7586,1233,-192
walk,-7533,1221,-187
walk,-7490,1206,-168
walk,-7449,1203,-161
walk,-7408,1215,-171
walk,-7360,1222,-195
walk,-7312,1217,-183
walk,-7273,1211,-129
walk,-7247,1212,-32
walk,-7205,1217,29
walk,-7157,1210,136
walk,-7139,1205,243
walk,-7091,1185,180
walk,-7049,1163,180
walk,-7005,1140,180
walk,-6974,1158,180
walk,-6948,1152,262
walk,-6916,1130,320
walk,-6866,1121,332
walk,-6834,1090,356
walk,-6796,1063,354
walk,-6752,1045,338
walk,-6730,1006,313
walk,-6709,984,252
walk,-6677,980,180
walk,-6627,978,180
walk,-6582,973,187
walk,-6547,958,188
walk,-6516,941,191
walk,-6464,941,185
walk,-6422,943,238
walk,-6373,947,315
walk,-6316,952,406
walk,-6284,952,500
walk,-6238,959,546
walk,-6207,963,596
wait,500
teleport,Aircraft Ticket Seller Shard,Aircraft Ticket Seller Sangnia
wait,500
walk,-5737,641,3858
walk,-5713,636,3870
walk,-5674,631,3892
walk,-5627,620,3953
walk,-5600,616,4000
walk,-5568,618,4028
walk,-5529,606,4006
walk,-5504,581,3926
walk,-5497,564,3863
walk,-5501,549,3845
walk,-5502,523,3773
walk,-5502,482,3554
walk,-5479,448,3556
walk,-5459,428,3579
walk,-5434,409,3581
walk,-5398,379,3456
walk,-5367,361,3405
walk,-5326,352,3411
walk,-5288,348,3415
walk,-5250,345,3333
walk,-5217,346,3213
walk,-5188,353,3103
walk,-5151,371,2960
walk,-5122,392,2893
walk,-5099,419,2872
walk,-5071,463,2745
walk,-5054,496,2698
walk,-5034,533,2596
walk,-5013,557,2550
walk,-4998,596,2480
walk,-4978,633,2404
walk,-4955,665,2334
walk,-4922,697,2243
walk,-4881,716,2172
walk,-4835,727,2117
walk,-4795,730,2093
walk,-4754,723,2089
walk,-4712,712,2075
walk,-4668,716,2091
walk,-4628,718,2085
walk,-4589,724,2089
walk,-4548,734,2075
walk,-4517,743,2080
walk,-4472,766,2085
walk,-4438,783,2113
walk,-4414,809,2139
walk,-4379,825,2118
walk,-4338,829,2111
walk,-4295,838,2146
walk,-4254,833,2132
walk,-4212,842,2103
walk,-4173,859,2092
walk,-4135,866,2092
walk,-4095,875,2115
walk,-4051,880,2091
walk,-4016,880,2092
walk,-3975,886,2093
walk,-3936,877,2060
walk,-3895,894,2064
walk,-3867,918,2105
walk,-3824,939,2162
walk,-3785,956,2236
walk,-3743,962,2265
walk,-3699,957,2267
walk,-3657,958,2288
walk,-3605,968,2240
walk,-3557,969,2229
walk,-3520,962,2243
walk,-3480,946,2227
walk,-3448,910,2214
walk,-3421,868,2227
walk,-3387,829,2279
walk,-3354,794,2334
walk,-3327,758,2415
walk,-3299,724,2488
walk,-3264,696,2519
walk,-3224,657,2526
walk,-3231,659,2522
walk,-3196,635,2526
walk,-3168,619,2523
wait,500
teleport,Aircraft Ticket Seller Ajati,Airship Ticket Seller Dawari
wait,500
walk,-2574,325,2076
walk,-2533,311,2070
walk,-2492,294,2050
walk,-2455,282,2008
walk,-2411,265,1985
walk,-2371,242,1981
walk,-2331,222,1980
walk,-2288,205,1980
walk,-2249,214,1924
walk,-2212,234,1887
walk,-2175,260,1814
walk,-2140,280,1768
walk,-2103,297,1672
walk,-2063,307,1559
walk,-2019,307,1436
walk,-1969,304,1379
walk,-1932,296,1378
walk,-1895,291,1411
walk,-1853,293,1377
walk,-1810,300,1378
walk,-1767,313,1384
walk,-1730,332,1391
walk,-1691,355,1347
walk,-1650,368,1328
walk,-1596,380,1324
walk,-1551,396,1367
walk,-1503,415,1362
walk,-1456,425,1382
walk,-1415,452,1383
walk,-1388,473,1383
walk,-1346,484,1354
walk,-1310,479,1394
walk,-1266,467,1377
walk,-1223,445,1384
walk,-1190,419,1393
walk,-1155,393,1393
walk,-1115,363,1372
walk,-1078,341,1335
walk,-1035,318,1276
walk,-991,297,1206
walk,-954,281,1125
walk,-927,262,1038
walk,-900,234,922
walk,-881,200,817
walk,-865,175,762
walk,-840,145,642
walk,-812,125,567
walk,-783,111,548
walk,-755,105,575
walk,-714,104,575
walk,-666,104,559
walk,-614,105,551
walk,-579,110,610
walk,-544,109,668
walk,-508,107,714
walk,-469,106,691
walk,-413,98,584
walk,-379,85,509
walk,-331,74,314
walk,-288,62,192
walk,-247,53,117
walk,-211,48,56
walk,-167,48,12
walk,-130,47,12
walk,-85,47,13
walk,-37,47,128
walk,-15,47,225
walk,25,48,243
walk,65,51,243
walk,103,69,244
walk,141,87,244
oldtrade,sell
oldtrade,buy,8400,Nephrite
walk,126,76,244
walk,98,65,244
walk,74,50,244
walk,42,46,243
walk,9,47,243
walk,-8,47,244
walk,-47,46,69
walk,-68,47,11
walk,-106,48,12
walk,-144,47,12
walk,-224,48,95
walk,-260,49,134
walk,-299,53,218
walk,-332,59,334
walk,-374,66,469
walk,-401,77,561
walk,-443,87,647
walk,-484,90,700
walk,-523,96,685
walk,-567,106,635
walk,-623,107,552
walk,-667,103,559
walk,-716,104,575
walk,-772,106,550
walk,-819,114,554
walk,-847,124,599
walk,-868,146,679
walk,-880,179,787
walk,-903,224,896
walk,-956,274,1117
walk,-987,292,1193
walk,-1016,302,1270
walk,-1058,322,1312
walk,-1099,343,1351
walk,-1141,367,1361
walk,-1161,383,1396
walk,-1196,410,1391
walk,-1223,429,1397
walk,-1263,452,1382
walk,-1297,474,1388
walk,-1356,484,1363
walk,-1390,476,1386
walk,-1432,442,1385
walk,-1476,420,1364
walk,-1517,411,1374
walk,-1565,388,1341
walk,-1625,375,1323
walk,-1676,359,1331
walk,-1718,339,1386
walk,-1766,314,1386
walk,-1796,302,1389
walk,-1852,280,1349
walk,-1895,278,1397
walk,-1950,288,1374
walk,-2006,294,1404
walk,-2048,299,1518
walk,-2085,289,1629
walk,-2120,275,1723
walk,-2164,251,1792
walk,-2199,226,1869
walk,-2237,211,1923
walk,-2280,209,1970
walk,-2325,221,1987
walk,-2360,238,1983
walk,-2394,260,1977
walk,-2432,279,1992
walk,-2470,296,2026
walk,-2512,310,2050
walk,-2552,323,2081
walk,-2590,348,2100
walk,-2613,371,2112
wait,500
teleport,Airship Ticket Seller Dawari,Aircraft Ticket Seller Ajati
wait,500
walk,-3198,634,2526
walk,-3187,631,2523
walk,-3221,651,2528
walk,-3285,679,2510
walk,-3314,720,2451
walk,-3339,765,2374
walk,-3371,800,2296
walk,-3402,834,2251
walk,-3430,876,2223
walk,-3465,920,2206
walk,-3498,950,2239
walk,-3533,964,2243
walk,-3583,972,2224
walk,-3623,964,2267
walk,-3660,958,2288
walk,-3697,955,2265
walk,-3733,958,2264
walk,-3772,961,2248
walk,-3824,945,2168
walk,-3822,944,2170
walk,-3856,918,2104
walk,-3873,896,2069
walk,-3889,885,2042
walk,-3932,881,2060
walk,-3961,877,2090
walk,-3987,886,2092
walk,-4030,877,2092
walk,-4072,868,2097
walk,-4103,861,2092
walk,-4145,850,2089
walk,-4183,837,2092
walk,-4212,828,2102
walk,-4249,820,2123
walk,-4299,813,2112
walk,-4337,808,2111
walk,-4371,807,2112
walk,-4405,818,2139
walk,-4444,817,2171
walk,-4477,825,2165
walk,-4512,828,2168
walk,-4560,831,2202
walk,-4599,837,2233
walk,-4653,828,2161
walk,-4690,808,2106
walk,-4714,781,2094
walk,-4759,748,2092
walk,-4760,742,2092
walk,-4795,727,2093
walk,-4849,730,2132
walk,-4893,725,2172
walk,-4926,709,2226
walk,-4954,689,2303
walk,-4991,649,2407
walk,-5010,616,2477
walk,-5022,585,2529
walk,-5039,548,2591
walk,-5073,503,2690
walk,-5096,451,2812
walk,-5109,418,2884
walk,-5139,389,2929
walk,-5177,359,3051
walk,-5213,346,3205
walk,-5256,348,3348
walk,-5292,348,3416
walk,-5339,357,3402
walk,-5380,371,3425
walk,-5419,400,3546
walk,-5443,426,3600
walk,-5488,467,3550
walk,-5505,508,3689
walk,-5506,536,3805
walk,-5511,575,3919
walk,-5535,602,4019
walk,-5572,612,4038
walk,-5626,616,3966
walk,-5677,624,3879
walk,-5721,632,3862
walk,-5758,635,3854
walk,-5775,634,3877
walk,-5782,633,3891
wait,500
teleport,Aircraft Ticket Seller Sangnia,Aircraft Ticket Seller Shard
wait,500
walk,-6228,960,566
walk,-6258,945,513
walk,-6260,943,511
walk,-6294,927,466
walk,-6336,906,303
walk,-6377,896,222
walk,-6420,897,204
walk,-6463,911,192
walk,-6502,928,186
walk,-6540,927,210
walk,-6567,925,208
walk,-6612,948,183
walk,-6643,968,180
walk,-6682,989,180
walk,-6715,988,268
walk,-6763,995,294
walk,-6805,1005,309
walk,-6852,993,309
walk,-6891,1008,313
walk,-6916,1026,252
walk,-6950,1044,180
walk,-6973,1062,180
walk,-7007,1087,179
walk,-7039,1121,180
walk,-7071,1154,180
walk,-7108,1181,180
walk,-7135,1191,228
walk,-7174,1209,96
walk,-7216,1218,-1
walk,-7249,1214,-41
walk,-7295,1212,-171
walk,-7341,1217,-192
walk,-7390,1223,-187
walk,-7441,1215,-172
walk,-7479,1209,-181
walk,-7525,1214,-186
walk,-7571,1225,-183
walk,-7616,1234,-183
walk,-7662,1223,-175
walk,-7704,1216,-172
walk,-7747,1222,-132
walk,-7783,1236,-97
walk,-7807,1270,-61
walk,-7826,1306,-12
walk,-7849,1334,68
walk,-7884,1352,151
walk,-7916,1374,177
walk,-7957,1414,180
walk,-7994,1455,217
walk,-8012,1481,251
walk,-8044,1521,158
walk,-8071,1554,163
walk,-8098,1595,209
walk,-8130,1631,157
walk,-8166,1663,147
walk,-8201,1689,139
walk,-8227,1704,153
walk,-8270,1724,11
walk,-8270,1724,13
walk,-8309,1727,-17
walk,-8347,1732,-11
walk,-8387,1732,-11
walk,-8424,1728,-4
walk,-8463,1722,-6
walk,-8511,1720,-24
walk,-8559,1721,-26
walk,-8573,1744,-1
walk,-8583,1782,0
walk,-8591,1818,0
walk,-8599,1829,0
walk,-8623,1829,98
walk,-8641,1828,158
walk,-8681,1829,38
wait,500
teleport,Priate Blackbeard,Harbor Manager Marwa
wait,500
walk,-16563,364,584
walk,-16584,364,585
walk,-16602,352,625
walk,-16611,324,693
walk,-16610,286,740
walk,-16609,196,771
walk,-16610,165,832
walk,-16609,90,933
walk,-16606,9,925
walk,-16607,-1,925
walk,-16603,-1,925
oldtrade,sell
oldtrade,buy,8400,Incense
walk,-16608,16,924
walk,-16608,51,925
walk,-16609,82,926
walk,-16607,95,933
walk,-16608,132,835
walk,-16608,170,821
walk,-16609,246,740
walk,-16608,274,740
walk,-16608,301,741
walk,-16604,341,634
walk,-16584,361,585
walk,-16561,369,584
wait,500
teleport,Harbor Manager Marwa,Priate Blackbeard
wait,500
walk,-8698,1870,-1
walk,-8687,1892,-3
walk,-8661,1900,-2
walk,-8631,1888,0
walk,-8606,1871,0
walk,-8582,1839,0
walk,-8563,1803,0
walk,-8541,1775,11
walk,-8513,1754,-3
walk,-8489,1742,-3
walk,-8461,1731,-25
walk,-8432,1723,1
walk,-8395,1720,1
walk,-8360,1718,1
walk,-8328,1716,3
walk,-8292,1705,73
walk,-8282,1699,158
walk,-8254,1687,143
walk,-8219,1670,139
walk,-8187,1652,176
walk,-8152,1634,146
walk,-8123,1620,200
walk,-8095,1605,213
walk,-8051,1583,175
walk,-8015,1569,184
walk,-7978,1547,174
walk,-7942,1519,173
walk,-7909,1488,169
walk,-7878,1464,177
walk,-7843,1426,147
walk,-7832,1391,133
walk,-7822,1341,9
walk,-7815,1306,-12
walk,-7803,1271,-55
walk,-7777,1236,-104
walk,-7754,1220,-125
walk,-7711,1210,-167
walk,-7671,1216,-176
walk,-7632,1230,-185
walk,-7586,1233,-192
walk,-7533,1221,-187
walk,-7490,1206,-168
walk,-7449,1203,-161
walk,-7408,1215,-171
walk,-7360,1222,-195
walk,-7312,1217,-183
walk,-7273,1211,-129
walk,-7247,1212,-32
walk,-7205,1217,29
walk,-7157,1210,136
walk,-7139,1205,243
walk,-7091,1185,180
walk,-7049,1163,180
walk,-7005,1140,180
walk,-6974,1158,180
walk,-6948,1152,262
walk,-6916,1130,320
walk,-6866,1121,332
walk,-6834,1090,356
walk,-6796,1063,354
walk,-6752,1045,338
walk,-6730,1006,313
walk,-6709,984,252
walk,-6677,980,180
walk,-6627,978,180
walk,-6582,973,187
walk,-6547,958,188
walk,-6516,941,191
walk,-6464,941,185
walk,-6422,943,238
walk,-6373,947,315
walk,-6316,952,406
walk,-6284,952,500
walk,-6238,959,546
walk,-6207,963,596
wait,500
teleport,Aircraft Ticket Seller Shard,Aircraft Ticket Seller Sangnia
wait,500
walk,-5737,641,3858
walk,-5713,636,3870
walk,-5674,631,3892
walk,-5627,620,3953
walk,-5600,616,4000
walk,-5568,618,4028
walk,-5529,606,4006
walk,-5504,581,3926
walk,-5497,564,3863
walk,-5501,549,3845
walk,-5502,523,3773
walk,-5502,482,3554
walk,-5479,448,3556
walk,-5459,428,3579
walk,-5434,409,3581
walk,-5398,379,3456
walk,-5367,361,3405
walk,-5326,352,3411
walk,-5288,348,3415
walk,-5250,345,3333
walk,-5217,346,3213
walk,-5188,353,3103
walk,-5151,371,2960
walk,-5122,392,2893
walk,-5099,419,2872
walk,-5071,463,2745
walk,-5054,496,2698
walk,-5034,533,2596
walk,-5013,557,2550
walk,-4998,596,2480
walk,-4978,633,2404
walk,-4955,665,2334
walk,-4922,697,2243
walk,-4881,716,2172
walk,-4835,727,2117
walk,-4795,730,2093
walk,-4754,723,2089
walk,-4712,712,2075
walk,-4668,716,2091
walk,-4628,718,2085
walk,-4589,724,2089
walk,-4548,734,2075
walk,-4517,743,2080
walk,-4472,766,2085
walk,-4438,783,2113
walk,-4414,809,2139
walk,-4379,825,2118
walk,-4338,829,2111
walk,-4295,838,2146
walk,-4254,833,2132
walk,-4212,842,2103
walk,-4173,859,2092
walk,-4135,866,2092
walk,-4095,875,2115
walk,-4051,880,2091
walk,-4016,880,2092
walk,-3975,886,2093
walk,-3936,877,2060
walk,-3895,894,2064
walk,-3867,918,2105
walk,-3824,939,2162
walk,-3785,956,2236
walk,-3743,962,2265
walk,-3699,957,2267
walk,-3657,958,2288
walk,-3605,968,2240
walk,-3557,969,2229
walk,-3520,962,2243
walk,-3480,946,2227
walk,-3448,910,2214
walk,-3421,868,2227
walk,-3387,829,2279
walk,-3354,794,2334
walk,-3327,758,2415
walk,-3299,724,2488
walk,-3264,696,2519
walk,-3224,657,2526
walk,-3231,659,2522
walk,-3196,635,2526
walk,-3168,619,2523
wait,500
teleport,Aircraft Ticket Seller Ajati,Airship Ticket Seller Dawari
wait,500
walk,-2574,325,2076
walk,-2533,311,2070
walk,-2492,294,2050
walk,-2455,282,2008
walk,-2411,265,1985
walk,-2371,242,1981
walk,-2331,222,1980
walk,-2288,205,1980
walk,-2249,214,1924
walk,-2212,234,1887
walk,-2175,260,1814
walk,-2140,280,1768
walk,-2103,297,1672
walk,-2063,307,1559
walk,-2019,307,1436
walk,-1969,304,1379
walk,-1932,296,1378
walk,-1895,291,1411
walk,-1853,293,1377
walk,-1810,300,1378
walk,-1767,313,1384
walk,-1730,332,1391
walk,-1691,355,1347
walk,-1650,368,1328
walk,-1596,380,1324
walk,-1551,396,1367
walk,-1503,415,1362
walk,-1456,425,1382
walk,-1415,452,1383
walk,-1388,473,1383
walk,-1346,484,1354
walk,-1310,479,1394
walk,-1266,467,1377
walk,-1223,445,1384
walk,-1190,419,1393
walk,-1155,393,1393
walk,-1115,363,1372
walk,-1078,341,1335
walk,-1035,318,1276
walk,-991,297,1206
walk,-954,281,1125
walk,-927,262,1038
walk,-900,234,922
walk,-881,200,817
walk,-865,175,762
walk,-840,145,642
walk,-812,125,567
walk,-783,111,548
walk,-755,105,575
walk,-714,104,575
walk,-666,104,559
walk,-614,105,551
walk,-579,110,610
walk,-544,109,668
walk,-508,107,714
walk,-469,106,691
walk,-413,98,584
walk,-379,85,509
walk,-331,74,314
walk,-288,62,192
walk,-247,53,117
walk,-211,48,56
walk,-167,48,12
walk,-130,47,12
walk,-85,47,13
walk,-37,47,128
walk,-15,47,225
walk,25,48,243
walk,65,51,243
walk,103,69,244
walk,141,87,244
oldtrade,sell
oldtrade,buy,8400,Jade
walk,126,76,244
walk,98,65,244
walk,74,50,244
walk,42,46,243
walk,9,47,243
walk,-8,47,244
walk,-47,46,69
walk,-68,47,11
walk,-106,48,12
walk,-144,47,12
walk,-224,48,95
walk,-260,49,134
walk,-299,53,218
walk,-332,59,334
walk,-374,66,469
walk,-401,77,561
walk,-443,87,647
walk,-484,90,700
walk,-523,96,685
walk,-567,106,635
walk,-623,107,552
walk,-667,103,559
walk,-716,104,575
walk,-772,106,550
walk,-819,114,554
walk,-847,124,599
walk,-868,146,679
walk,-880,179,787
walk,-903,224,896
walk,-956,274,1117
walk,-987,292,1193
walk,-1016,302,1270
walk,-1058,322,1312
walk,-1099,343,1351
walk,-1141,367,1361
walk,-1161,383,1396
walk,-1196,410,1391
walk,-1223,429,1397
walk,-1263,452,1382
walk,-1297,474,1388
walk,-1356,484,1363
walk,-1390,476,1386
walk,-1432,442,1385
walk,-1476,420,1364
walk,-1517,411,1374
walk,-1565,388,1341
walk,-1625,375,1323
walk,-1676,359,1331
walk,-1718,339,1386
walk,-1766,314,1386
walk,-1796,302,1389
walk,-1852,280,1349
walk,-1895,278,1397
walk,-1950,288,1374
walk,-2006,294,1404
walk,-2048,299,1518
walk,-2085,289,1629
walk,-2120,275,1723
walk,-2164,251,1792
walk,-2199,226,1869
walk,-2237,211,1923
walk,-2280,209,1970
walk,-2325,221,1987
walk,-2360,238,1983
walk,-2394,260,1977
walk,-2432,279,1992
walk,-2470,296,2026
walk,-2512,310,2050
walk,-2552,323,2081
walk,-2590,348,2100
walk,-2613,371,2112
wait,500
teleport,Airship Ticket Seller Dawari,Aircraft Ticket Seller Ajati
wait,500
walk,-3198,634,2526
walk,-3187,631,2523
walk,-3221,651,2528
walk,-3285,679,2510
walk,-3314,720,2451
walk,-3339,765,2374
walk,-3371,800,2296
